x,y,original_label
-70.005974,19.200459,Known Species 0
-67.29682,19.255135,Known Species 0
-68.46379,18.308413,Known Species 0
-69.05672,19.252655,Known Species 0
-68.59123,18.582148,Known Species 0
-68.38406,18.648094,Known Species 0
-68.900154,19.240656,Known Species 0
-69.92636,18.859886,Known Species 0
-68.70726,18.266768,Known Species 0
-68.7422,19.97875,Known Species 0
-68.76744,17.833183,Known Species 0
-68.77858,17.907179,Known Species 0
-69.759674,19.986382,Known Species 0
-67.631226,18.53347,Known Species 0
-68.454285,19.811844,Known Species 0
-69.36393,18.023643,Known Species 0
-67.96379,19.049252,Known Species 0
-70.048386,18.423328,Known Species 0
-67.67782,18.217842,Known Species 0
-69.55402,18.966167,Known Species 0
-69.03768,18.03092,Known Species 0
-68.26527,19.016432,Known Species 0
-67.34329,18.837765,Known Species 0
-69.089554,17.634007,Known Species 0
-69.4231,19.75312,Known Species 0
-68.75938,18.341322,Known Species 0
-67.907326,20.04382,Known Species 0
-68.22064,19.096725,Known Species 0
-69.197945,19.174492,Known Species 0
-69.608536,19.338472,Known Species 0
-69.3923,18.895111,Known Species 0
-69.19289,18.02665,Known Species 0
-68.52907,19.062696,Known Species 0
-68.7674,19.949394,Known Species 0
-67.42773,18.563099,Known Species 0
-70.18476,18.513283,Known Species 0
-68.53157,19.437078,Known Species 0
-67.879684,18.37735,Known Species 0
-68.66849,20.232645,Known Species 0
-68.64101,17.593298,Known Species 0
-69.72248,19.737078,Known Species 0
-67.88336,19.748425,Known Species 0
-68.213455,20.307083,Known Species 0
-68.85601,19.050037,Known Species 0
-69.13262,18.261694,Known Species 0
-69.61504,18.384157,Known Species 0
-69.84058,19.318645,Known Species 0
-68.12467,19.041452,Known Species 0
-68.86349,19.070477,Known Species 0
-67.94508,20.25226,Known Species 0
-69.755196,18.869734,Known Species 0
-67.9779,19.740896,Known Species 0
-69.4056,18.17075,Known Species 0
-68.08823,18.949858,Known Species 0
-68.72214,18.14377,Known Species 0
-70.01885,18.928715,Known Species 0
-68.15499,20.35861,Known Species 0
-69.37649,19.044882,Known Species 0
-68.89491,20.242678,Known Species 0
-68.691444,19.001028,Known Species 0
-68.30222,20.432404,Known Species 0
-69.59724,18.65751,Known Species 0
-69.8237,18.539797,Known Species 0
-68.135185,19.168621,Known Species 0
-68.97066,19.259977,Known Species 0
-67.92701,19.800865,Known Species 0
-69.38231,19.686975,Known Species 0
-68.060104,18.650854,Known Species 0
-69.65526,19.933231,Known Species 0
-70.00225,19.43198,Known Species 0
-70.0925,18.83431,Known Species 0
-67.7956,19.470844,Known Species 0
-67.38396,18.546787,Known Species 0
-68.84183,19.543665,Known Species 0
-68.692055,17.929274,Known Species 0
-68.31523,20.453918,Known Species 0
-68.43242,19.227856,Known Species 0
-68.84346,17.782314,Known Species 0
-67.63731,19.12545,Known Species 0
-69.84026,19.734531,Known Species 0
-69.43299,19.737846,Known Species 0
-68.50897,19.392832,Known Species 0
-70.04192,18.94976,Known Species 0
-68.774155,17.68934,Known Species 0
-68.02082,18.49858,Known Species 0
-69.213425,19.28851,Known Species 0
-68.78974,18.95855,Known Species 0
-69.50999,19.416851,Known Species 0
-68.215645,19.051811,Known Species 0
-68.336525,19.64102,Known Species 0
-68.970055,18.26314,Known Species 0
-68.372795,18.881968,Known Species 0
-68.74514,18.328665,Known Species 0
-69.2571,17.63271,Known Species 0
-69.09627,19.453768,Known Species 0
-68.6326,19.005196,Known Species 0
-70.170334,18.65514,Known Species 0
-68.882805,18.71665,Known Species 0
-69.027916,18.085485,Known Species 0
-68.998795,19.533163,Known Species 0
66.64876,36.261948,Known Species 1
66.16046,35.289177,Known Species 1
64.7153,35.906174,Known Species 1
65.860916,37.11166,Known Species 1
65.69935,35.14148,Known Species 1
64.2588,36.31881,Known Species 1
65.1545,35.695457,Known Species 1
65.442055,34.82384,Known Species 1
65.14842,36.749683,Known Species 1
64.8051,36.69818,Known Species 1
64.70794,36.048664,Known Species 1
65.787346,36.935715,Known Species 1
66.647995,35.67649,Known Species 1
66.354,36.5944,Known Species 1
66.25159,35.662273,Known Species 1
65.87152,34.783817,Known Species 1
65.53662,35.958347,Known Species 1
64.63861,36.030266,Known Species 1
64.38789,36.553055,Known Species 1
66.65644,35.606457,Known Species 1
66.55181,35.60238,Known Species 1
65.631996,34.585094,Known Species 1
64.05005,35.764946,Known Species 1
65.06904,35.54932,Known Species 1
65.9928,35.903873,Known Species 1
64.34875,36.18883,Known Species 1
66.54038,35.5206,Known Species 1
64.972336,37.342686,Known Species 1
65.18774,36.82499,Known Species 1
66.29446,36.166515,Known Species 1
64.650925,36.407104,Known Species 1
65.2178,37.243687,Known Species 1
65.3405,35.338024,Known Species 1
65.51841,37.22516,Known Species 1
64.34193,35.64259,Known Species 1
65.43334,36.36748,Known Species 1
64.815475,36.056942,Known Species 1
65.63422,36.29697,Known Species 1
64.496864,36.77161,Known Species 1
64.76324,36.148506,Known Species 1
65.61387,35.726242,Known Species 1
65.650856,37.051346,Known Species 1
65.12683,35.280525,Known Species 1
66.81865,35.714,Known Species 1
65.51885,36.88497,Known Species 1
65.485634,35.611885,Known Species 1
66.45278,35.553413,Known Species 1
65.722115,36.724487,Known Species 1
65.70446,37.062572,Known Species 1
65.292656,37.051865,Known Species 1
65.98496,35.570225,Known Species 1
66.523636,35.60967,Known Species 1
65.68526,34.576283,Known Species 1
65.83272,37.00255,Known Species 1
65.76886,35.55035,Known Species 1
65.81836,35.18082,Known Species 1
